t1ID,GCCLSID,ConceptLSID,acceptedFamily,family,fullName,rank,genusHybridMarker,genus,genusBasionymAuthors,genusAuthors,speciesHybridMarker,species,speciesBasAuthors,speciesAuthors,infraspecificRank,infraspecificEpithet,infraspecificBasAuthors,infraspecificAuthors,basionymAuthors,primaryAuthors,publication,collation,page,date,reference,basionymID,replacedSynonymID,nomenclaturalRemarks,taxonomicStatus,acceptedNameID,acceptedName,parentNameID,source,originalID,lastModifiedInSourceAvailable,lastModifiedInSource,dateExported,ipniID,IPNIContributions,GCCDataProviders,notes
GCC-DFD2047D-5C25-44EE-AC3D-000DDD726A2E,urn:lsid:compositae.org:names:DFD2047D-5C25-44EE-AC3D-000DDD726A2E,[none],Asteraceae,Asteraceae,"Arctotis australiensis Beauverd",species,,Arctotis,"","L.",,australiensis,"","Beauverd",,,"","",NULL,"Beauverd",NULL,,"44",1915,,,,"",Synonym,GCC-00A6264A-DF11-4F62-BABF-00C71BA9B8F6,"Cymbonotus preissianus Steetz",GCC-75285FEA-8B80-4825-A368-86FF500DBA26,GCC,DFD2047D-5C25-44EE-AC3D-000DDD726A2E,true,2011-09-24T05:15:16.013,2012-02-11T19:46:03,,"135218-3,178537-1","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, New South Wales Flora Online",""
GCC-72562527-6DB1-43EF-9D58-000E0E7E8202,urn:lsid:compositae.org:names:72562527-6DB1-43EF-9D58-000E0E7E8202,urn:lsid:compositae.org:concepts:319325,Asteraceae,Asteraceae,"Senecio fastigiaticephalus Cabrera",species,,Senecio,"","L.",,fastigiaticephalus,"","Cabrera",,,"","",NULL,"Cabrera","Brittonia 7: 62, fig. 4. 1950",,"62, fig. 4",1950,,,,"",Synonym,GCC-5357C383-1D49-4C51-B1AA-343DED54A45E,"Dendrophorbium fastigiaticephalum (Cabrera) C.Jeffrey",GCC-8E5155BD-8DA5-4B76-863B-F53BEF3839F9,GCC,72562527-6DB1-43EF-9D58-000E0E7E8202,true,2010-10-09T10:07:00.403,2012-02-11T19:46:03,,"310235-2,245083-1,233063-2","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, Tropicos, Lista de Espécies da Flora do Brasil",""
GCC-72557703-8F5D-4E2C-9392-000EA6673119,urn:lsid:compositae.org:names:72557703-8F5D-4E2C-9392-000EA6673119,urn:lsid:compositae.org:concepts:442437,Asteraceae,Asteraceae,"Solidago arguta var. scabrella Torr. & A.Gray",variety,,Solidago,"","L.",,arguta,"","Aiton",variety,scabrella,NULL,"Torr. & A.Gray",NULL,"Torr. & A.Gray","A Flora of North America: containing . . . 2(3):",,"414",1843,,,,"",Synonym,GCC-4A66E631-9594-4585-B302-8365168986A6,"Solidago juncea Aiton",GCC-0E837756-5B1A-434A-8413-56180A917337,GCC,72557703-8F5D-4E2C-9392-000EA6673119,true,2010-04-19T12:04:34.590,2012-02-11T19:46:03,,"","Data Providers:  Tropicos",""
GCC-DA13D5D7-2D25-4FB6-A8EC-000EB20C24CE,urn:lsid:compositae.org:names:DA13D5D7-2D25-4FB6-A8EC-000EB20C24CE,urn:lsid:compositae.org:concepts:445373,Asteraceae,Asteraceae,"Artemisia arachnoidea E.Sheld.",species,,Artemisia,"","L.",,arachnoidea,"","E.Sheld.",,,"","",NULL,"E.Sheld.","Bull. Torrey Bot. Club 30",,"310",1903,,,,"",Synonym,GCC-7E3CFA5D-697C-44E5-ACD0-05BD2898CD59,"Artemisia ludoviciana subsp. incompta (Nutt.) D.D.Keck",GCC-84787A3F-3307-4FD6-92E9-623A1AD20422,GCC,DA13D5D7-2D25-4FB6-A8EC-000EB20C24CE,true,2011-09-24T07:10:27.263,2012-02-11T19:46:03,,"179208-1,20506-2","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, Tropicos",""
GCC-6E6FE493-6DB2-475B-90E0-00107D239F43,urn:lsid:compositae.org:names:6E6FE493-6DB2-475B-90E0-00107D239F43,urn:lsid:compositae.org:concepts:266786,Asteraceae,Asteraceae,"Thrincia hispida (Roth) Roth",species,,Thrincia,"","Roth",,hispida,"Roth","(Roth) Roth",,,"","","Roth","Roth",NULL,,"99",1797,,GCC-346C858F-D5DA-46B9-984E-62323F06A7FA,,"",Synonym,GCC-A35E59B1-09C1-4323-9A03-8D298B926D0C,"Leontodon saxatilis subsp. rothii Maire",GCC-3CDDE435-AF45-4234-8A81-CBEB305A2606,GCC,6E6FE493-6DB2-475B-90E0-00107D239F43,true,2010-12-21T01:02:24.803,2012-02-11T19:46:03,,"255645-1","Data Providers:  African Plant Database, Govaerts World Compositae Checklist A-G, IPNI, Euro+Med, Vascular Plants of Russia, Cichorieae Portal","ori:FNA"
GCC-926F9482-F0BE-47F9-8192-0010EAC67079,urn:lsid:compositae.org:names:926F9482-F0BE-47F9-8192-0010EAC67079,urn:lsid:compositae.org:concepts:301239,Asteraceae,Asteraceae,"Carpesium humile C.Winkl.",species,,Carpesium,"","L.",,humile,"","C.Winkl.",,,"","",NULL,"C.Winkl.","Act. Hort. Petrop.",,"70",1895,,,,"",Accepted,GCC-926F9482-F0BE-47F9-8192-0010EAC67079,"Carpesium humile C.Winkl.",GCC-C57F59A6-36CA-40D9-B8D8-AAE2B18B7668,GCC,926F9482-F0BE-47F9-8192-0010EAC67079,true,2011-09-25T15:53:05.420,2012-02-11T19:46:03,,"189346-1,189347-1","Data Providers:  Govaerts World Compositae Checklist A-G, IPNI, Flora of China Project, Tropicos","Act. Hort. Petropolis."
GCC-D53A948F-3ADF-48B9-9111-00122F7F952A,urn:lsid:compositae.org:names:D53A948F-3ADF-48B9-9111-00122F7F952A,urn:lsid:compositae.org:concepts:264430,Asteraceae,Asteraceae,"Taraxacum ribii D.P.Petit",species,,Taraxacum,"","Weber ex F.H.Wigg.",,ribii,"","D.P.Petit",,,"","",NULL,"D.P.Petit","D. P. Petit in Actes Inst. Agron. Vétérin. Hassan II 8. 1988",,"36",1988,,,,"",Accepted,GCC-D53A948F-3ADF-48B9-9111-00122F7F952A,"Taraxacum ribii D.P.Petit",GCC-AC8194FF-8493-430B-B3E2-3F67778876A2,GCC,D53A948F-3ADF-48B9-9111-00122F7F952A,true,2010-12-21T01:00:58.630,2012-02-11T19:46:03,,"","Data Providers:  African Plant Database, Cichorieae Portal","ori:FNA"
GCC-79CCD19A-201E-469D-B722-0012FDEE3F17,urn:lsid:compositae.org:names:79CCD19A-201E-469D-B722-0012FDEE3F17,urn:lsid:compositae.org:concepts:283547,Asteraceae,Asteraceae,"Aster ageratoides var. ovalifolius f. sawadanus (Kitam.) Ohwi",forma,,Aster,"","Turcz.",,ageratoides,"","Kitam.",forma,sawadanus,"Kitam.","(Kitam.) Ohwi","Kitam.","Ohwi",NULL,,"88",1953,,GCC-52EE3D77-920B-420E-AD15-E9CFEF2033DE,,"",Synonym,GCC-52EE3D77-920B-420E-AD15-E9CFEF2033DE,"Aster ageratoides var. sawadanus Kitam.",GCC-96FE8BC1-4EAA-4FD0-A00B-F5D01B29D6EE,GCC,79CCD19A-201E-469D-B722-0012FDEE3F17,true,2011-09-24T12:31:56.217,2012-02-11T19:46:03,,"","Data Providers:  Flora of Japan, Govaerts World Compositae Checklist A-G",""
GCC-CA7A14E9-5E8E-4980-888A-00138AE45DA5,urn:lsid:compositae.org:names:CA7A14E9-5E8E-4980-888A-00138AE45DA5,urn:lsid:compositae.org:concepts:558003,Asteraceae,Asteraceae,"Erigeron annuus subsp. annuus",subspecies,,Erigeron,"","L.",,annuus,"L.","(L.) Pers.",subspecies,annuus,NULL,NULL,NULL,NULL,NULL,,"",,,,,"",Accepted,GCC-CA7A14E9-5E8E-4980-888A-00138AE45DA5,"Erigeron annuus subsp. annuus",GCC-1A3293A3-96DC-49CF-B497-04E46E4E7EED,GCC,CA7A14E9-5E8E-4980-888A-00138AE45DA5,true,2011-09-16T17:49:36.530,2012-02-11T19:46:03,,"","Data Providers:  LCR Editor",""
GCC-3A8BF4D1-7579-49D0-875A-0014B191FEAE,urn:lsid:compositae.org:names:3A8BF4D1-7579-49D0-875A-0014B191FEAE,[none],Asteraceae,Asteraceae,"Erigeron glabratus var. albus Nakai",variety,,Erigeron,"","L.",,glabratus,"","Hoppe & Hornsch. ex Bluff & Fingerh.",variety,albus,NULL,"Nakai",NULL,"Nakai","Bot. Mag. (Tokyo) 36: 72 (1922)",,"72",1922,,,,"",Synonym,GCC-6EBA2281-5EA1-4898-8794-F2FF8F13D5F7,"Erigeron komarovii Botsch.",GCC-EB003088-712F-4A6A-B180-1DB915EBA648,GCC,3A8BF4D1-7579-49D0-875A-0014B191FEAE,true,2010-11-30T18:42:19.327,2012-02-11T19:46:03,,"","Data Providers:  Govaerts World Compositae Checklist A-G",""
