"nameID","parentNameID","scientificName","scientificNameAuthorship","nameRank","nameUri","isHybrid","genus","specificEpithet","rankIndicator","otherEpithet","subclass","family","acceptance","acceptedNameID"
50144511,24900676,"Picea asperata var. heterolepis","(Rehder & E.H. Wilson) Rehder","variety","http://www.tropicos.org/Name/50144511",,"Picea","asperata","var.","heterolepis","Pinidae","Pinaceae","A",
50144517,24900384,"Picea wilsonii var. shanxiensis","Silba","variety","http://www.tropicos.org/Name/50144517",,"Picea","wilsonii","var.","shanxiensis","Pinidae","Pinaceae","S",24900384
50144518,24900384,"Picea wilsonii var. watsoniana","(Mast.) Silba","variety","http://www.tropicos.org/Name/50144518",,"Picea","wilsonii","var.","watsoniana","Pinidae","Pinaceae","S",24900384
50144520,50103963,"Picea likiangensis var. likiangensis","(Franch.)","variety","http://www.tropicos.org/Name/50144520",,"Picea","likiangensis","var.","likiangensis","Pinidae","Pinaceae","A",
50144550,24900108,"Pinus densiflora var. tabuliformis","(Carri├¿re) Mast.","variety","http://www.tropicos.org/Name/50144550",,"Pinus","densiflora","var.","tabuliformis","Pinidae","Pinaceae","S",24901356
50144563,24900213,"Pinus rigida var. serotina","(Michx.) Loudon ex Hoopes","variety","http://www.tropicos.org/Name/50144563",,"Pinus","rigida","var.","serotina","Pinidae","Pinaceae","S",24900216
50145412,50073344,"Picea purpurea var. balfouriana","(Rehder & E.H. Wilson) Silba","variety","http://www.tropicos.org/Name/50145412",,"Picea","purpurea","var.","balfouriana","Pinidae","Pinaceae","S",50140509
50145414,50103963,"Picea likiangensis var. hirtella","(Rehder & E.H. Wilson) W.C. Cheng","variety","http://www.tropicos.org/Name/50145414",,"Picea","likiangensis","var.","hirtella","Pinidae","Pinaceae","A",
50145415,50054686,"Picea balfouriana var. hirtella","(Rehder & E.H. Wilson) W.C. Cheng","variety","http://www.tropicos.org/Name/50145415",,"Picea","balfouriana","var.","hirtella","Pinidae","Pinaceae","S",50145414
50145416,50073344,"Picea purpurea var. hirtella","(Rehder & E.H. Wilson) Silba","variety","http://www.tropicos.org/Name/50145416",,"Picea","purpurea","var.","hirtella","Pinidae","Pinaceae","S",50145414
50145417,50103963,"Picea likiangensis var. montigena","(Mast.) W.C. Cheng","variety","http://www.tropicos.org/Name/50145417",,"Picea","likiangensis","var.","montigena","Pinidae","Pinaceae","A",
50145419,50103963,"Picea likiangensis var. purpurea","(Mast.) Dallim. & A.B. Jacks.","variety","http://www.tropicos.org/Name/50145419",,"Picea","likiangensis","var.","purpurea","Pinidae","Pinaceae","S",50073344
50145420,24900381,"Picea jezoensis var. ajanensis","(Fisch. ex Carri├¿re) W.C. Cheng & L.K. Fu","variety","http://www.tropicos.org/Name/50145420",,"Picea","jezoensis","var.","ajanensis","Pinidae","Pinaceae","S",24900382
50145421,24900381,"Picea jezoensis var. komarovii","(V.N. Vassil.) W.C. Cheng & L.K. Fu","variety","http://www.tropicos.org/Name/50145421",,"Picea","jezoensis","var.","komarovii","Pinidae","Pinaceae","A",
50145422,24900793,"Picea spinulosa var. yatungensis","Silba","variety","http://www.tropicos.org/Name/50145422",,"Picea","spinulosa","var.","yatungensis","Pinidae","Pinaceae","S",24900793
50145423,24900844,"Picea brachytyla var. brachytyla",,"variety","http://www.tropicos.org/Name/50145423",,"Picea","brachytyla","var.","brachytyla","Pinidae","Pinaceae","A",
50145425,24900844,"Picea brachytyla var. latisquamea","Stapf","variety","http://www.tropicos.org/Name/50145425",,"Picea","brachytyla","var.","latisquamea","Pinidae","Pinaceae","S",50145423
50145426,24900844,"Picea brachytyla var. pachyclada","(Patschke) Silba","variety","http://www.tropicos.org/Name/50145426",,"Picea","brachytyla","var.","pachyclada","Pinidae","Pinaceae","S",50145423
50145428,24900844,"Picea brachytyla var. rhombisquamea","Stapf","variety","http://www.tropicos.org/Name/50145428",,"Picea","brachytyla","var.","rhombisquamea","Pinidae","Pinaceae","S",50145423
50145439,24901201,"Larix griffithiana var. speciosa","(W.C. Cheng & Y.W. Law) Silba","variety","http://www.tropicos.org/Name/50145439",,"Larix","griffithiana","var.","speciosa","Pinidae","Pinaceae","S",24901202
50145442,24900792,"Larix griffithii var. mastersiana","(Rehder & E.H. Wilson) Silba","variety","http://www.tropicos.org/Name/50145442",,"Larix","griffithii","var.","mastersiana","Pinidae","Pinaceae","S",24901204
50145443,24900379,"Larix potaninii var. himalaica","(W.C. Cheng & L.K. Fu) Farjon & Silba","variety","http://www.tropicos.org/Name/50145443",,"Larix","potaninii","var.","himalaica","Pinidae","Pinaceae","S",24901205
50145445,24900379,"Larix potaninii var. australis","A. Henry ex Hand.-Mazz.","variety","http://www.tropicos.org/Name/50145445",,"Larix","potaninii","var.","australis","Pinidae","Pinaceae","A",
50145447,24900097,"Larix dahurica var. heilingensis","(Y.C. Yang & Y.L. Chou) Kitag.","variety","http://www.tropicos.org/Name/50145447",,"Larix","dahurica","var.","heilingensis","Pinidae","Pinaceae","S",50120578
50145448,24900378,"Larix gmelinii var. wulingschanensis","(Liou & Q.L. Wang) Kitag.","variety","http://www.tropicos.org/Name/50145448",,"Larix","gmelinii","var.","wulingschanensis","Pinidae","Pinaceae","S",24901218
50145449,24900671,"Larix leptolepis var. louchanensis","Ferr├⌐ & Aug├¿re","variety","http://www.tropicos.org/Name/50145449",,"Larix","leptolepis","var.","louchanensis","Pinidae","Pinaceae","S",24900375
50145452,24900876,"Pseudotsuga sinensis var. forrestii","(Craib) Silba","variety","http://www.tropicos.org/Name/50145452",,"Pseudotsuga","sinensis","var.","forrestii","Pinidae","Pinaceae","S",24901509
50145454,24900876,"Pseudotsuga sinensis var. gaussenii","(Flous) Silba","variety","http://www.tropicos.org/Name/50145454",,"Pseudotsuga","sinensis","var.","gaussenii","Pinidae","Pinaceae","S",50108396
50145458,24900682,"Tsuga chinensis subsp. wardii","(Downie) A.E. Murray","subspecies","http://www.tropicos.org/Name/50145458",,"Tsuga","chinensis","subsp.","wardii","Pinidae","Pinaceae","S",24901644
50145459,24901644,"Tsuga dumosa var. yunnanensis","(Franch.) Silba","variety","http://www.tropicos.org/Name/50145459",,"Tsuga","dumosa","var.","yunnanensis","Pinidae","Pinaceae","S",24901644
50145460,24901646,"Tsuga yunnanensis subsp. dura","(Downie) A.E. Murray","subspecies","http://www.tropicos.org/Name/50145460",,"Tsuga","yunnanensis","subsp.","dura","Pinidae","Pinaceae","S",24901644
50145463,24901644,"Tsuga dumosa var. dumosa",,"variety","http://www.tropicos.org/Name/50145463",,"Tsuga","dumosa","var.","dumosa","Pinidae","Pinaceae",,
50145464,24900682,"Tsuga chinensis var. daibuensis","S.S. Ying","variety","http://www.tropicos.org/Name/50145464",,"Tsuga","chinensis","var.","daibuensis","Pinidae","Pinaceae","S",24901629
50145465,24900682,"Tsuga chinensis subsp. patens","(Downie) A.E. Murray","subspecies","http://www.tropicos.org/Name/50145465",,"Tsuga","chinensis","subsp.","patens","Pinidae","Pinaceae","S",50113336
50145466,24900682,"Tsuga chinensis var. forrestii","(Downie) Silba","variety","http://www.tropicos.org/Name/50145466",,"Tsuga","chinensis","var.","forrestii","Pinidae","Pinaceae","A",
50145467,24901151,"Keteleeria evelyniana var. hainanensis","(Chun & Tsiang) Silba","variety","http://www.tropicos.org/Name/50145467",,"Keteleeria","evelyniana","var.","hainanensis","Pinidae","Pinaceae","S",24901150
50145468,24901165,"Keteleeria fortunei var. fortunei",,"variety","http://www.tropicos.org/Name/50145468",,"Keteleeria","fortunei","var.","fortunei","Pinidae","Pinaceae","A",
50145470,24901165,"Keteleeria fortunei var. cyclolepis","(Flous) Silba","variety","http://www.tropicos.org/Name/50145470",,"Keteleeria","fortunei","var.","cyclolepis","Pinidae","Pinaceae","A",
50145474,24901151,"Keteleeria evelyniana var. roulletii","(A. Chev.) Silba","variety","http://www.tropicos.org/Name/50145474",,"Keteleeria","evelyniana","var.","roulletii","Pinidae","Pinaceae","A",
50145475,24901159,"Keteleeria davidiana var. pubescens","(W.C. Cheng & L.K. Fu) Silba","variety","http://www.tropicos.org/Name/50145475",,"Keteleeria","davidiana","var.","pubescens","Pinidae","Pinaceae","S",24901157
50145478,24901165,"Keteleeria fortunei var. xerophila","(J.R. Xue & S.H. Huo) Silba","variety","http://www.tropicos.org/Name/50145478",,"Keteleeria","fortunei","var.","xerophila","Pinidae","Pinaceae","S",24901162
